model,depth,run,test_acc,val_acc,best_epoch,train_time
gcn,2,0,0.71,0.675,7,2.906428337097168
gcn,2,1,0.61,0.645,18,3.481518030166626
gcn,2,2,0.65,0.72,10,3.1312685012817383
gcn,3,0,0.65,0.645,8,3.5782365798950195
gcn,3,1,0.615,0.655,27,5.310979843139648
gcn,3,2,0.595,0.66,4,3.1151585578918457
gcn,4,0,0.595,0.675,15,4.85810399055481
gcn,4,1,0.64,0.715,43,7.752268314361572
gcn,4,2,0.615,0.69,18,5.0677478313446045
gcn,5,0,0.64,0.71,68,11.925909280776978
gcn,5,1,0.61,0.67,68,11.700364351272583
gcn,5,2,0.575,0.675,58,10.82750129699707
gcn,6,0,0.45,0.51,138,23.33238172531128
gcn,6,1,0.2,0.31,2,4.4501214027404785
gcn,6,2,0.54,0.595,104,18.491387605667114
gcn,7,0,0.25,0.305,2,5.062599182128906
gcn,7,1,0.245,0.28,1,4.901263952255249
gcn,7,2,0.24,0.28,2,5.0633533000946045
gin,2,0,0.625,0.7,43,5.634787082672119
gin,2,1,0.69,0.66,12,3.280776023864746
gin,2,2,0.585,0.685,6,2.79660701751709
gin,3,0,0.595,0.675,23,4.755580186843872
gin,3,1,0.61,0.66,3,2.9860339164733887
gin,3,2,0.605,0.655,6,3.2587215900421143
gin,4,0,0.59,0.685,3,3.4280552864074707
gin,4,1,0.615,0.715,40,7.266019344329834
gin,4,2,0.585,0.695,24,5.663264989852905
gin,5,0,0.615,0.705,50,9.680577039718628
gin,5,1,0.56,0.67,10,4.838249921798706
gin,5,2,0.62,0.69,38,8.233078002929688
gin,6,0,0.63,0.66,37,9.278692483901978
gin,6,1,0.615,0.71,34,8.9164457321167
gin,6,2,0.555,0.615,51,11.415335416793823
gin,7,0,0.25,0.305,6,5.704874515533447
gin,7,1,0.245,0.28,4,5.376322507858276
gin,7,2,0.24,0.28,3,5.3212597370147705
gcn+fa,2,0,1.0,1.0,2,3.9070522785186768
gcn+fa,2,1,1.0,1.0,2,3.872575283050537
gcn+fa,2,2,1.0,1.0,2,3.7845330238342285
gcn+fa,3,0,1.0,1.0,2,4.254427671432495
gcn+fa,3,1,1.0,1.0,2,4.253911972045898
gcn+fa,3,2,1.0,1.0,2,4.233919858932495
gcn+fa,4,0,1.0,1.0,2,4.701793432235718
gcn+fa,4,1,1.0,1.0,2,5.28220009803772
gcn+fa,4,2,1.0,1.0,2,4.876124858856201
gcn+fa,5,0,1.0,1.0,2,5.358374834060669
gcn+fa,5,1,1.0,1.0,2,5.3542799949646
gcn+fa,5,2,1.0,1.0,2,5.280758619308472
gcn+fa,6,0,1.0,1.0,3,6.188563346862793
gcn+fa,6,1,1.0,1.0,2,6.061449766159058
gcn+fa,6,2,1.0,1.0,2,6.202362537384033
gcn+fa,7,0,1.0,1.0,2,13.066115140914917
gcn+fa,7,1,1.0,1.0,3,13.70902132987976
gcn+fa,7,2,1.0,1.0,2,13.360765218734741
gin+fa,2,0,1.0,1.0,2,3.9617295265197754
gin+fa,2,1,1.0,1.0,2,3.9595143795013428
gin+fa,2,2,1.0,1.0,2,3.909823179244995
gin+fa,3,0,1.0,1.0,2,4.370304584503174
gin+fa,3,1,1.0,1.0,2,4.526238918304443
gin+fa,3,2,1.0,1.0,2,4.280929327011108
gin+fa,4,0,1.0,1.0,2,4.875982046127319
gin+fa,4,1,1.0,1.0,2,4.830493927001953
gin+fa,4,2,1.0,1.0,2,4.707787752151489
gin+fa,5,0,1.0,1.0,2,5.330463886260986
gin+fa,5,1,1.0,1.0,2,5.295663118362427
gin+fa,5,2,1.0,1.0,2,5.2570719718933105
gin+fa,6,0,1.0,1.0,2,6.006526708602905
gin+fa,6,1,1.0,1.0,2,6.193898439407349
gin+fa,6,2,1.0,1.0,3,6.711358070373535
gin+fa,7,0,1.0,1.0,3,13.176469564437866
gin+fa,7,1,1.0,1.0,2,12.682560920715332
gin+fa,7,2,1.0,1.0,2,12.766824960708618
